Name		chromosome	base_pair_location	other_allele	effect_allele	Trait	Cohort	Model	beta	ci_lower	ci_upper	p_value	effect_allele_frequency	standard_error	Rank	CRISPR gene?	Our p-val
LSM5	ENSG00000106355).GENE.M3.singleton	7	32487260	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.240178	-0.583599	0.103244	0.170458	3.40E-05	0.999966	10698	#N/A	#N/A
FHIT	ENSG00000189283).GENE.M3.001	3	59752225	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0727772	-0.0312922	0.176847	0.17049	0.00037073	0.999629	10699	#N/A	#N/A
PELI3	ENSG00000174516).GENE.M3.001	11	66468128	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0488934	-0.118814	0.0210277	0.17052	0.000822898	0.999176	10700	#N/A	#N/A
HSPD1	ENSG00000144381).GENE.M3.singleton	2	197487045	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.13767	-0.0592133	0.334554	0.170531	0.000104534	0.999895	10701	#N/A	#N/A
BAG4	ENSG00000156735).GENE.M1.0001	8	38176869	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.189488	-0.0815175	0.460493	0.170558	5.47E-05	0.999945	10702	#N/A	#N/A
C10orf107	ENSG00000183346).GENE.M3.0001	10	61681242	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.169759	-0.412562	0.073045	0.170584	6.81E-05	0.999932	10703	#N/A	#N/A
ECD	ENSG00000122882).GENE.M3.0001	10	73134582	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0675375	-0.164148	0.0290735	0.170642	0.000430289	0.99957	10704	#N/A	#N/A
FUT3	ENSG00000171124).GENE.M3.0001	19	5843753	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.172425	-0.074227	0.419077	0.170644	6.93E-05	0.999931	10705	#N/A	#N/A
CCL3	ENSG00000277632).GENE.M1.0001	17	36088671	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.308185	-0.132713	0.749083	0.170685	2.07E-05	0.999979	10706	#N/A	#N/A
CYP3A4	ENSG00000160868).GENE.M1.001	7	99758132	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0679261	-0.165107	0.0292546	0.170702	0.000425427	0.999574	10707	#N/A	#N/A
DMRTA1	ENSG00000176399).GENE.M3.singleton	9	22447065	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.183332	-0.0789785	0.445642	0.170736	5.83E-05	0.999942	10708	#N/A	#N/A
PHF3	ENSG00000118482).GENE.M3.singleton	6	63646551	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.122917	-0.298788	0.0529543	0.170742	0.000130059	0.99987	10709	#N/A	#N/A
AKAP4	ENSG00000147081).GENE.M1.001	23	50190959	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.299101	-0.727069	0.128867	0.170752	1.46E-05	1.49999	10710	#N/A	#N/A
LRRC70	ENSG00000186105).GENE.M1.singleton	5	62579438	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.244566	-0.594531	0.105399	0.170786	3.28E-05	0.999967	10711	#N/A	#N/A
CFHR5	ENSG00000134389).GENE.M1.1	1	196977664	ref	M1.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0152195	-0.00656176	0.0370008	0.170839	0.00952836	0.993729	10712	#N/A	#N/A
RPP25	ENSG00000178718).GENE.M3.001	15	74955983	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.103303	-0.0445385	0.251145	0.17084	0.000183542	0.999816	10713	#N/A	#N/A
ASAP1	ENSG00000153317).GENE.M3.001	8	130054730	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0546457	-0.132854	0.023563	0.170856	0.000657589	0.999342	10714	#N/A	#N/A
PRELID3A	ENSG00000141391).GENE.M1.0001	18	12407975	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.231639	-0.563172	0.0998932	0.17087	3.65E-05	0.999964	10715	#N/A	#N/A
GPR158	ENSG00000151025).GENE.M1.0001	10	25175420	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.112218	-0.048395	0.272831	0.170875	0.000155585	0.999844	10716	#N/A	#N/A
PPP2R3A	ENSG00000073711).GENE.M3.1	3	136001498	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.00999267	-0.0242953	0.00430994	0.17089	0.020316	0.985981	10717	#N/A	#N/A
HTR1B	ENSG00000135312).GENE.M3.01	6	77462230	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0684603	-0.029531	0.166452	0.170905	0.00041935	0.99958	10718	#N/A	#N/A
MRPL35	ENSG00000132313).GENE.M3.0001	2	86199490	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.125076	-0.0539656	0.304118	0.170935	0.000126413	0.999874	10719	#N/A	#N/A
FUBP3	ENSG00000107164).GENE.M3.0001	9	130579680	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0775678	-0.188608	0.0334722	0.170953	0.000325756	0.999674	10720	#N/A	#N/A
CCL15	ENSG00000275718).GENE.M1.singleton	17	35997766	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.448886	-0.193735	1.09151	0.170974	9.72E-06	0.99999	10721	#N/A	#N/A
SPANXN4	ENSG00000189326).GENE.M1.001	23	143026014	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.177572	-0.431821	0.0766774	0.171039	4.74E-05	1.30766	10722	#N/A	#N/A
ZNF567	ENSG00000189042).GENE.M1.singleton	19	36694867	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.283717	-0.122584	0.690018	0.171115	2.55E-05	0.999974	10723	#N/A	#N/A
CATSPERB	ENSG00000133962).GENE.M1.001	14	91580888	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.057206	-0.0247179	0.13913	0.171122	0.000598029	0.999402	10724	#N/A	#N/A
NMRK1	ENSG00000106733).GENE.M1.singleton	9	75061547	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.270554	-0.658022	0.116913	0.171133	2.67E-05	0.999973	10725	#N/A	#N/A
FAM83B	ENSG00000168143).GENE.M3.0001	6	54870246	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0575245	-0.0248699	0.139919	0.171197	0.000593167	0.999406	10726	#N/A	#N/A
OR6A2	ENSG00000184933).GENE.M3.0001	11	6794724	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.130901	-0.0566081	0.31841	0.171231	0.000114258	0.999886	10727	#N/A	#N/A
C2orf69	ENSG00000178074).GENE.M3.01	2	199911438	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0724117	-0.176145	0.0313219	0.171261	0.000376807	0.999623	10728	#N/A	#N/A
RABEP1	ENSG00000029725).GENE.M3.0001	17	5282486	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0593829	-0.0256957	0.144461	0.171309	0.000553056	1.00384	10729	#N/A	#N/A
PSPH	ENSG00000146733).GENE.M3.1	7	56011761	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0293169	-0.0713247	0.012691	0.171362	0.00228637	0.997708	10730	#N/A	#N/A
12-Sep	ENSG00000140623).GENE.M3.singleton	16	4777796	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.141872	-0.345162	0.0614184	0.17137	9.72E-05	0.999903	10731	#N/A	#N/A
GSTA5	ENSG00000182793).GENE.M1.1	6	52831847	ref	M1.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0254449	-0.011017	0.0619068	0.171387	0.0030412	0.997751	10732	#N/A	#N/A
ATP9B	ENSG00000166377).GENE.M1.singleton	18	79069410	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.163595	-0.398024	0.0708349	0.171392	7.29E-05	0.999927	10733	#N/A	#N/A
C2orf82	ENSG00000182600).GENE.M1.singleton	2	232870341	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.481512	-0.208496	1.17152	0.171396	8.51E-06	0.999991	10734	#N/A	#N/A
GGACT	ENSG00000134864).GENE.M1.singleton	13	100532129	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.400783	-0.97511	0.173544	0.171399	1.22E-05	0.999988	10735	#N/A	#N/A
TRAK2	ENSG00000115993).GENE.M3.01	2	201380542	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.024843	-0.0604451	0.0107592	0.171421	0.00321502	0.997533	10736	#N/A	#N/A
SURF2	ENSG00000148291).GENE.M1.0001	9	133356592	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.157284	-0.0681298	0.382697	0.171444	7.90E-05	0.999921	10737	#N/A	#N/A
BORCS8-MEF2B	ENSG00000064489).GENE.M3.0001	19	19145693	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.104366	-0.0452166	0.25395	0.171469	0.000188404	0.999812	10738	#N/A	#N/A
USH1G	ENSG00000182040).GENE.M1.0001	17	74918072	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.149461	-0.363687	0.0647636	0.171489	8.75E-05	0.999912	10739	#N/A	#N/A
GPS1	ENSG00000169727).GENE.M3.0001	17	82051931	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0881633	-0.214534	0.0382072	0.171505	0.00025161	0.999748	10740	#N/A	#N/A
HOXA9	ENSG00000078399).GENE.M1.0001	7	27163602	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.184917	-0.0801569	0.44999	0.171537	5.71E-05	0.999943	10741	#N/A	#N/A
BANF1	ENSG00000175334).GENE.M3.singleton	11	66003250	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.567082	-1.37998	0.24582	0.171539	6.08E-06	0.999994	10742	#N/A	#N/A
C21orf58	ENSG00000160298).GENE.M3.0001	21	46301998	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.138221	-0.336368	0.0599259	0.17156	0.000102103	0.999898	10743	#N/A	#N/A
PEX1	ENSG00000127980).GENE.M3.1	7	92487456	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0208948	-0.00905919	0.0508489	0.171563	0.00451196	0.996009	10744	#N/A	#N/A
TRIM5	ENSG00000132256).GENE.M3.001	11	5664087	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0630431	-0.0273349	0.153421	0.171572	0.000489849	1.00448	10745	#N/A	#N/A
ADORA3	ENSG00000282608).GENE.M1.01	1	111499949	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0746048	-0.0323523	0.181562	0.171589	0.000354928	0.999645	10746	#N/A	#N/A
ADGRG3	ENSG00000182885).GENE.M1.01	16	57668347	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0490549	-0.0212863	0.119396	0.171673	0.000813174	0.999186	10747	#N/A	#N/A
NUP54	ENSG00000138750).GENE.M1.0001	4	76115365	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.177393	-0.0769791	0.431766	0.171678	6.20E-05	0.999938	10748	#N/A	#N/A
DDAH1	ENSG00000153904).GENE.M3.001	1	85321451	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0883683	-0.215087	0.0383505	0.171689	0.000252825	0.999747	10749	#N/A	#N/A
CRYGB	ENSG00000182187).GENE.M1.001	2	208142637	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.117213	-0.285299	0.0508734	0.171702	0.00014343	0.999857	10750	#N/A	#N/A
ISL2	ENSG00000159556).GENE.M3.0001	15	76336883	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.103418	-0.0449097	0.251745	0.17177	0.000182326	0.999818	10751	#N/A	#N/A
HSPA4	ENSG00000170606).GENE.M3.001	5	133052250	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0537116	-0.130751	0.0233274	0.171786	0.000678253	0.999321	10752	#N/A	#N/A
GRAMD1B	ENSG00000023171).GENE.M1.0001	11	123430792	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.13828	-0.336627	0.0600666	0.171809	0.000102103	0.999898	10753	#N/A	#N/A
RGS1	ENSG00000090104).GENE.M3.0001	1	192575792	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.124907	-0.0542618	0.304076	0.171818	0.000126413	0.999874	10754	#N/A	#N/A
ILF3	ENSG00000129351).GENE.M1.0001	19	10670605	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.264941	-0.645002	0.115121	0.171848	2.92E-05	0.999971	10755	#N/A	#N/A
ELK1	ENSG00000126767).GENE.M3.001	23	47636828	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.134923	-0.0586398	0.328486	0.171878	7.54E-05	1.41931	10756	#N/A	#N/A
ZNF764	ENSG00000169951).GENE.M1.01	16	30555193	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0830441	-0.202181	0.036093	0.171881	0.000283213	0.999717	10757	#N/A	#N/A
ASF1A	ENSG00000111875).GENE.M3.singleton	6	118894413	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.264359	-0.643639	0.114921	0.171908	2.80E-05	0.999972	10758	#N/A	#N/A
FBXO6	ENSG00000116663).GENE.M3.01	1	11668658	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0471058	-0.114693	0.0204815	0.171933	0.00088732	1.00185	10759	#N/A	#N/A
GALNT13	ENSG00000144278).GENE.M3.01	2	153944497	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0443918	-0.108091	0.0193076	0.171974	0.0009955	1.00389	10760	#N/A	#N/A
CCSER1	ENSG00000184305).GENE.M1.singleton	4	90308284	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.202702	-0.0881819	0.493586	0.172002	4.74E-05	0.999953	10762	#N/A	#N/A
ATP2C2	ENSG00000064270).GENE.M1.0001	16	84368615	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0796695	-0.194004	0.0346645	0.172024	0.000307523	0.999692	10763	#N/A	#N/A
LILRB2	ENSG00000131042).GENE.M1.0001	19	54274682	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.122049	-0.297222	0.0531253	0.172076	0.000137352	0.999863	10764	#N/A	#N/A
ZNF107	ENSG00000196247).GENE.M1.001	7	64666282	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0660224	-0.0287454	0.16079	0.172109	0.000447307	0.999552	10765	#N/A	#N/A
ATP2C1	ENSG00000017260).GENE.M3.001	3	130850820	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0447906	-0.019506	0.109087	0.172141	0.000969975	1.00154	10766	#N/A	#N/A
FAM73B	ENSG00000148343).GENE.M1.0001	9	129040594	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.154671	-0.376701	0.0673589	0.172141	8.14E-05	0.999919	10767	#N/A	#N/A
MYBL2	ENSG00000101057).GENE.M1.01	20	43667283	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0985803	-0.042952	0.240113	0.172204	0.000200559	0.999799	10768	#N/A	#N/A
ZNF540	ENSG00000171817).GENE.M1.001	19	37598447	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0855379	-0.208348	0.037272	0.172213	0.000277136	1.0085	10769	#N/A	#N/A
SPDL1	ENSG00000040275).GENE.M1.0001	5	169588416	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.109019	-0.265555	0.047518	0.172253	0.000164093	0.999836	10770	#N/A	#N/A
RP11-277P12.6	ENSG00000255641).GENE.M1.0001	12	10412571	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.23101	-0.100717	0.562736	0.172287	3.65E-05	0.999964	10771	#N/A	#N/A
ZNF649	ENSG00000198093).GENE.M1.singleton	19	51890617	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.282931	-0.689241	0.123379	0.172315	2.55E-05	0.999974	10772	#N/A	#N/A
ESYT1	ENSG00000139641).GENE.M1.singleton	12	56128319	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.169049	-0.07373	0.411827	0.172335	6.81E-05	0.999932	10773	#N/A	#N/A
ANKRD23	ENSG00000163126).GENE.M1.001	2	96839548	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0797781	-0.034814	0.19437	0.172407	0.000308739	0.999691	10774	#N/A	#N/A
SEZ6	ENSG00000063015).GENE.M3.01	17	28955948	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.02981	-0.0130107	0.0726306	0.172427	0.00219764	0.998906	10775	#N/A	#N/A
PLXNB1	ENSG00000164050).GENE.M1.0001	3	48404485	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0987818	-0.240678	0.0431143	0.172429	0.000199343	0.999801	10776	#N/A	#N/A
MINA	ENSG00000170854).GENE.M3.001	3	97945183	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0405782	-0.017714	0.0988704	0.172453	0.00118147	1.00088	10777	#N/A	#N/A
SDR16C5	ENSG00000170786).GENE.M3.singleton	8	56301479	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.180781	-0.440501	0.0789391	0.172487	5.96E-05	0.99994	10778	#N/A	#N/A
SHPRH	ENSG00000146414).GENE.M3.singleton	6	145886427	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0888788	-0.0388161	0.216574	0.17251	0.000246748	0.999753	10779	#N/A	#N/A
FOXRED2	ENSG00000100350).GENE.M1.0001	22	36490007	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.125154	-0.0546629	0.304971	0.17252	0.000123982	0.999876	10780	#N/A	#N/A
UBFD1	ENSG00000103353).GENE.M1.001	16	23557742	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.15233	-0.0665396	0.371199	0.172535	8.39E-05	0.999916	10781	#N/A	#N/A
RHBDF2	ENSG00000129667).GENE.M3.0001	17	76471632	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0603426	-0.147045	0.0263599	0.172542	0.000534823	0.999465	10782	#N/A	#N/A
FGF23	ENSG00000118972).GENE.M1.singleton	12	4370342	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.421419	-1.02699	0.184151	0.172584	1.09E-05	0.999989	10783	#N/A	#N/A
SERPINA3	ENSG00000196136).GENE.M1.0001	14	94614441	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.167393	-0.407953	0.073168	0.172621	6.93E-05	0.999931	10784	#N/A	#N/A
DPP7	ENSG00000176978).GENE.M3.singleton	9	137110647	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.154493	-0.376528	0.0675423	0.172646	8.14E-05	0.999919	10785	#N/A	#N/A
TNNT2	ENSG00000118194).GENE.M1.0001	1	201359209	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.157692	-0.384327	0.0689441	0.172653	7.90E-05	0.999921	10786	#N/A	#N/A
TMC1	ENSG00000165091).GENE.M3.001	9	72648648	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0361049	-0.0879991	0.0157893	0.172685	0.00149507	0.998503	10787	#N/A	#N/A
GRIPAP1	ENSG00000068400).GENE.M1.singleton	23	48974192	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.297743	-0.725727	0.130242	0.172719	1.94E-05	1.12498	10788	#N/A	#N/A
SERINC3	ENSG00000132824).GENE.M3.01	20	44500295	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0343295	-0.0836766	0.0150177	0.172727	0.0016543	0.998343	10789	#N/A	#N/A
KMT5B	ENSG00000110066).GENE.M3.01	11	68157687	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0485499	-0.0212401	0.11834	0.172737	0.000826545	0.999173	10790	#N/A	#N/A
ZNF705B	ENSG00000215356).GENE.M1.0001	8	7947421	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.477941	-0.209153	1.16504	0.172773	8.51E-06	0.999991	10791	#N/A	#N/A
BCAP29	ENSG00000075790).GENE.M1.001	7	107580772	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0874539	-0.0382755	0.213183	0.172789	0.000254041	0.999746	10792	#N/A	#N/A
MLKL	ENSG00000168404).GENE.M3.singleton	16	74672503	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.223533	-0.0978326	0.544898	0.172789	3.89E-05	0.999961	10793	#N/A	#N/A
DDIAS	ENSG00000165490).GENE.M3.singleton	11	82914738	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.166016	-0.40473	0.0726971	0.172857	7.05E-05	0.999929	10794	#N/A	#N/A
TNC	ENSG00000041982).GENE.M3.001	9	115021156	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0216708	-0.00948992	0.0528315	0.172863	0.0041704	0.995812	10795	#N/A	#N/A
SIX1	ENSG00000126778).GENE.M1.singleton	14	60646282	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.35027	-0.853944	0.153404	0.172877	1.58E-05	0.999984	10796	#N/A	#N/A
SYCE1L	ENSG00000205078).GENE.M1.001	16	77199451	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.089196	-0.217456	0.0390643	0.172877	0.000244317	0.999756	10797	#N/A	#N/A
IRX3	ENSG00000177508).GENE.M1.singleton	16	54283685	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.316027	-0.138423	0.770476	0.172892	1.94E-05	0.999981	10798	#N/A	#N/A
DVL2	ENSG00000004975).GENE.M3.0001	17	7225864	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0573682	-0.0251351	0.139871	0.17293	0.000590736	0.999409	10799	#N/A	#N/A
SNF8	ENSG00000159210).GENE.M1.singleton	17	48930474	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.381011	-0.929035	0.167012	0.17299	1.34E-05	0.999987	10801	#N/A	#N/A
ZNF250	ENSG00000196150).GENE.M1.singleton	8	144881514	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.364842	-0.889618	0.159933	0.172997	1.46E-05	0.999985	10802	#N/A	#N/A
AGBL1	ENSG00000166748).GENE.M3.001	15	86143721	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0396282	-0.0966295	0.0173731	0.173009	0.00123739	0.998761	10803	#N/A	#N/A
